vision_score,vad_score,oww_score,output
0.156211,0.580329,0.963582,0
0.060759,0.000000,0.001968,0
0.079593,0.485685,0.002552,0
0.065664,0.445336,0.006521,0
0.145773,0.565501,0.732491,0
0.060073,0.622182,0.012347,0
0.067629,0.000000,0.002080,0
0.166470,0.491827,0.298574,0
0.053600,0.000000,0.010888,0
0.011357,0.673581,0.580549,0
0.005623,0.553143,0.011338,0
0.099675,0.651241,0.003447,0
0.127465,0.526741,0.114776,0
0.060343,0.000000,0.001251,0
0.047992,0.495210,0.090672,0
0.059173,0.615777,0.989739,0
0.106683,0.000000,0.836050,0
0.134350,0.604545,0.001674,0
0.094159,0.000000,0.194212,0
0.199025,0.607598,0.190661,0
0.097595,0.586169,0.130977,0
0.129005,0.000000,0.001228,0
0.107479,0.000000,0.001636,0
0.056566,0.000000,0.002274,0
0.062382,0.480097,0.031164,0
0.013701,0.000000,0.002721,0
0.004399,0.000000,0.014952,0
0.005710,0.000000,0.069556,0
0.000347,0.457622,0.003839,0
0.000044,0.000000,0.001276,0
0.004049,0.676403,0.088022,0
0.012117,0.557717,0.010159,0
0.017375,0.631123,0.912418,0
0.060983,0.536958,0.764767,0
0.138083,0.556677,0.001403,0
0.179874,0.000000,0.928321,0
0.090696,0.624787,0.853507,0
0.011991,0.725705,0.006840,0
0.142098,0.000000,0.003525,0
0.034462,0.650164,0.042694,0
0.082921,0.000000,0.985576,0
0.116962,0.000000,0.001578,0
0.086300,0.514205,0.004862,0
0.017114,0.000000,0.055724,0
0.004147,0.458253,0.041435,0
0.044730,0.628304,0.004458,0
0.031560,0.583247,0.001906,0
0.055244,0.512851,0.003682,0
0.005230,0.000000,0.061583,0
0.058496,0.000000,0.024906,0
0.000644,0.000000,0.006325,0
0.000003,0.582063,0.209134,0
0.005523,0.000000,0.043809,0
0.002203,0.000000,0.006093,0
0.005903,0.000000,0.780611,0
0.007744,0.506113,0.001990,0
0.005156,0.425840,0.384943,0
0.002266,0.578197,0.125696,0
0.028045,0.625977,0.001535,0
0.001007,0.000000,0.003145,0
0.003316,0.591058,0.014364,0
0.021815,0.708286,0.004755,0
0.044770,0.378478,0.001454,0
0.001210,0.403492,0.875139,0
0.012251,0.495705,0.003119,0
0.000096,0.666450,0.322596,0
0.030799,0.782521,0.180816,0
0.048496,0.569006,0.879888,0
0.000094,0.679462,0.961584,0
0.000296,0.449872,0.861607,0
0.001174,0.423186,0.002312,0
0.000011,0.000000,0.002606,0
0.004405,0.446177,0.062029,0
0.030560,0.000000,0.001842,0
0.054562,0.000000,0.001269,0
0.000002,0.533334,0.447786,0
0.001435,0.562551,0.011918,0
0.004147,0.545285,0.956312,0
0.003915,0.611256,0.874748,0
0.004600,0.608420,0.270985,0
0.003906,0.659259,0.056036,0
0.004123,0.000000,0.004306,0
0.004119,0.481014,0.001826,0
0.003880,0.628976,0.035697,0
0.003916,0.457259,0.002336,0
0.003890,0.000000,0.060725,0
0.003867,0.516018,0.002965,0
0.003868,0.000000,0.001570,0
0.003713,0.000000,0.001337,0
0.003650,0.585364,0.555637,0
0.003731,0.000000,0.001325,0
0.017013,0.605443,0.005496,0
0.006199,0.000000,0.004026,0
0.004021,0.487668,0.855141,0
0.003940,0.000000,0.001321,0
0.003797,0.000000,0.032160,0
0.003752,0.000000,0.102040,0
0.003890,0.000000,0.001768,0
0.002575,0.000000,0.295663,0
0.003690,0.470540,0.005744,0
0.004219,0.522407,0.011963,0
0.004339,0.000000,0.009353,0
0.005298,0.000000,0.985808,0
0.006621,0.000000,0.029440,0
0.003688,0.000000,0.011285,0
0.003437,0.454628,0.003573,0
0.128127,0.568956,0.941160,0
0.000952,0.518324,0.009852,0
0.001679,0.000000,0.140782,0
0.063871,0.000000,0.001289,0
0.068005,0.601465,0.938378,0
0.000000,0.000000,0.001431,0
0.000000,0.000000,0.001773,0
0.000000,0.655772,0.008784,0
0.000000,0.000000,0.001428,0
0.000000,0.000000,0.002007,0
0.000000,0.000000,0.005377,0
0.000000,0.355865,0.001267,0
0.000000,0.495699,0.165353,0
0.000000,0.659434,0.064841,0
0.000000,0.000000,0.365062,0
0.025948,0.000000,0.001568,0
0.132141,0.649601,0.969719,0
0.316028,0.000000,0.923901,0
0.368312,0.000000,0.002799,0
0.316460,0.000000,0.001627,0
0.416245,0.000000,0.130614,0
0.249791,0.000000,0.015586,0
0.378240,0.000000,0.008265,0
0.313933,0.000000,0.001386,0
0.000861,0.425550,0.007934,0
0.045536,0.000000,0.005574,0
0.243378,0.766365,0.939924,0
0.289928,0.000000,0.001874,0
0.084444,0.000000,0.003835,0
0.085537,0.000000,0.015284,0
0.074861,0.609312,0.246265,0
0.050007,0.000000,0.001425,0
0.150324,0.618378,0.588364,0
0.131924,0.529203,0.746406,0
0.132357,0.636888,0.949588,0
0.126594,0.000000,0.001499,0
0.050512,0.000000,0.021223,0
0.020856,0.534514,0.945284,0
0.005179,0.644499,0.974106,0
0.173445,0.000000,0.912234,0
0.261780,0.489139,0.002393,0
0.036691,0.432106,0.902551,0
0.000000,0.580367,0.008296,0
0.100052,0.712101,0.992931,1
0.298698,0.648765,0.992892,1
0.473185,0.593213,0.002333,1
0.457686,0.730858,0.004123,1
0.475424,0.833837,0.217191,1
0.421873,0.789904,0.989738,1
0.482773,0.795845,0.992440,1
0.530548,0.837153,0.006583,1
0.518284,0.866792,0.353026,1
0.455591,0.770669,0.617432,1
0.449537,0.721263,0.992699,1
0.412791,0.611305,0.007801,1
0.447529,0.691523,0.992660,1
0.260374,0.647926,0.990030,1
0.031610,0.679844,0.992708,1
0.479621,0.590307,0.001251,1
0.469452,0.620639,0.003026,1
0.476083,0.000000,0.001536,0
0.353789,0.688210,0.992231,1
0.390620,0.610047,0.018265,1
0.406859,0.609400,0.002059,1
0.365351,0.676001,0.992511,1
0.266004,0.000000,0.001619,0
0.307562,0.658958,0.991633,1
0.444820,0.535808,0.002067,1
0.399304,0.507589,0.001554,1
0.500488,0.818965,0.572905,1
0.503485,0.735712,0.218333,1
0.434201,0.605510,0.989986,1
0.531224,0.698199,0.017300,1
0.545634,0.000000,0.201410,0
0.458767,0.533525,0.003989,1
0.065022,0.561995,0.993254,1
0.350631,0.621217,0.002103,1
0.482368,0.644541,0.982756,1
0.463346,0.638208,0.002818,1
0.523467,0.000000,0.001640,0
0.382437,0.566915,0.833116,1
0.403573,0.671981,0.991332,1
0.511757,0.683748,0.006732,1
0.552078,0.000000,0.046545,0
0.412664,0.680024,0.993951,1
0.525151,0.790788,0.018963,1
0.550600,0.000000,0.002840,0
0.409893,0.000000,0.001287,1
0.439802,0.626142,0.005387,1
0.531769,0.582080,0.991270,1
0.525977,0.598776,0.024623,1
0.475213,0.565974,0.002860,1
0.378738,0.701864,0.991839,1
0.400775,0.709902,0.991664,1
0.352183,0.709902,0.001252,1
0.456288,0.594236,0.992848,1
0.566391,0.753148,0.992551,1
0.563057,0.742893,0.008598,1
0.553010,0.698357,0.002022,1
0.450036,0.611548,0.004201,1
0.437688,0.683254,0.800599,1
0.467219,0.655892,0.993543,1
0.473610,0.646221,0.990592,1
0.291649,0.439473,0.992256,1
0.152129,0.553163,0.990459,1
0.467726,0.745650,0.440681,1
0.514506,0.690758,0.773855,1
0.476334,0.755949,0.009310,1
0.478680,0.762062,0.008397,1
0.479272,0.732670,0.122362,1
0.479620,0.770182,0.110022,1
0.446725,0.739405,0.987250,1
0.467213,0.749200,0.990253,1
0.461601,0.790506,0.991529,1
0.125201,0.775208,0.990645,1
0.185382,0.790178,0.991894,1
0.283814,0.000000,0.005641,0
0.429586,0.687659,0.992804,1
0.522364,0.780281,0.993288,1
0.524284,0.788444,0.991948,1
0.521902,0.800772,0.993418,1
0.526097,0.760730,0.992671,1
0.523044,0.722437,0.990978,1
0.522552,0.741398,0.993264,1
0.520160,0.737288,0.991645,1
0.519236,0.769647,0.991626,1
0.526807,0.739021,0.991880,1
0.524153,0.507962,0.992472,1
0.526707,0.512423,0.987703,1
0.528007,0.462003,0.973272,1
0.528198,0.461271,0.976133,1
0.526848,0.400964,0.987639,1
0.527811,0.426809,0.986011,1
0.527450,0.000000,0.984681,1
0.526672,0.000000,0.989411,1
0.524564,0.425375,0.846764,1
0.575606,0.777338,0.006667,1
0.604538,0.804333,0.422905,1
0.599372,0.791711,0.070377,1
0.595094,0.779381,0.074230,1
0.614292,0.794546,0.001254,1
0.619214,0.778224,0.027054,1
0.609150,0.459949,0.991910,1
0.604971,0.450884,0.906920,1
0.597937,0.477225,0.993189,1
0.581072,0.444585,0.860049,1
0.576428,0.413414,0.983452,1
0.584901,0.399573,0.990225,1
0.587223,0.381707,0.120608,1
0.592576,0.433552,0.991051,1
0.000022,0.491762,0.992940,1
0.000000,0.782188,0.992886,1
0.000000,0.771282,0.992861,1
0.000000,0.803048,0.992868,1
0.000016,0.767152,0.992435,1
0.000000,0.765074,0.992841,1
0.000000,0.784533,0.993197,1
0.000054,0.763968,0.993785,1
0.603828,0.776022,0.993510,1
0.582386,0.749402,0.993757,1
0.014308,0.762115,0.992913,1
0.001332,0.789963,0.993537,1
0.025899,0.761740,0.992650,1
0.070458,0.777950,0.993592,1
0.058489,0.745932,0.993371,1
